statNm,addr,chgerType,useTime,lat,lng,output,limitYn,limitDetail
남구 진아리채 리센츠 급속충전소,광주광역시 남구 독립로 155,4,24시간 이용가능,35.14758114,126.9044378,50.0,N,기타
용석파밀리에,광주광역시 광산구 왕버들로 197-1,2,24시간 이용가능,35.200850574,126.83225751,7.0,N,기타
광산로 제1공영 주차타워,광주광역시 광산구 송정동 818-15 광산로 제1공영 주차타워,4,24시간 이용가능,35.13725922,126.7950975,100.0,N,기타
광주 아이리스건설 선운 현장,광주광역시 광산구 어등대로648번길 138-46,4,24시간 이용가능,35.145677292,126.78232573,50.0,N,기타
WTC광주무역회관 급속충전소(스타코프),광주광역시 광산구 무진대로 282,4,24시간 이용가능,35.160703747,126.81140856,50.0,N,기타
서석동 고운 디아르떼 오피스텔,광주광역시 동구 문화전당로26번길 12,4,24시간 이용가능,35.145157813,126.92119003,50.0,N,기타
유니버시아드힐스테이트1단지,광주 서구 화운로 94,2,24시간 이용가능,35.1483694,126.8807341,7.0,Y,거주자 외 출입이 제한될 수 있음
와이어스파크지식산업센터,광주광역시 북구 첨단과기로208번길 43-22,2,24시간 이용가능,35.2224552,126.851706,7.0,N,기타
임곡요양원,광주광역시 광산구 임곡로 51,2,24시간 이용가능,35.2175372,126.7520477,7.0,N,기타
김해김씨경파동곡문중,광주광역시 광산구 어등대로553번길 39,2,24시간 이용가능,35.1553705,126.78287,7.0,N,기타
유한회사티모텔,광주광역시 광산구 무진대로231번길 13-28,2,24시간 이용가능,35.1630389,126.804506,7.0,N,기타
지산1동주민센터,광주광역시 동구 지산로 57,2,평일 09시~18시 이용가능,35.1490063,126.932719,기타,N,기타
동명동주민센터,광주광역시 동구 동명로26번길 13,2,평일 09시~18시 이용가능,35.1511795,126.9251623,기타,N,기타
서남동주민센터,광주광역시 동구 서남로 14,2,평일 09시~18시 이용가능,35.1449517,126.923162,기타,N,기타
지산2동주민센터,광주광역시 동구 지호로 51,2,평일 09시~18시 이용가능,35.1479761,126.9344933,기타,N,기타
충장동주민센터,광주광역시 동구 충장로58번길 16,2,평일 09시~18시 이용가능,35.1491847,126.9128027,기타,N,기타
소촌모아1차아파트1,"광주광역시 광산구 소촌로86번길 17 (소촌동, 모아드림타운)",2,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",35.15276454478,126.794322214,기타,N,기타
소촌모아1차아파트2,"광주광역시 광산구 소촌로86번길 17 (소촌동, 모아드림타운)",2,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",35.15287039197,126.7956169679,기타,N,기타
소촌모아1차아파트3,"광주광역시 광산구 소촌로86번길 17 (소촌동, 모아드림타운)",2,24시간 이용가능,35.1529879,126.7944698,기타,N,기타
소촌모아1차아파트4,"광주광역시 광산구 소촌로86번길 17 (소촌동, 모아드림타운)",2,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",35.15250758049,126.7969485575,기타,N,기타
수완진아리채1차아파트,"광주광역시 광산구 하남대로261번길 27 (신가동, 수완진아리채1차아파트)",2,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",35.1814004911,126.8218129346,기타,N,기타
풍암부영1차아파트1,"광주광역시 서구 화개1로24번길 10 (금호동, 풍암부영1차아파트(마재마을))",2,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",35.12618118365,126.8570015528,기타,N,기타
풍암부영1차아파트2,"광주광역시 서구 화개1로24번길 10 (금호동, 풍암부영1차아파트(마재마을))",2,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",35.12606204742,126.8572513549,기타,N,기타
광주 두암1동주민센터,광주광역시 북구 동문대로110번길 77,2,평일 09시~18시 이용가능,35.171037,126.9289642,기타,N,기타
광주 삼각동행정복지센터,광주광역시 북구 설죽로 447,2,평일 09시~18시 이용가능,35.1992646,126.8994886,기타,N,기타
광주 석곡동행정복지센터,광주광역시 북구 석곡로 634,2,평일 09시~18시 이용가능,35.2150156,126.9500443,기타,N,기타
광주 임동행정복지센터,광주광역시 북구 서림로 53,2,평일 09시~18시 이용가능,35.1658739,126.8942478,기타,N,기타
광주 중앙동행정복지센터,광주광역시 북구 금재로 30,2,평일 09시~18시 이용가능,35.1573211,126.9065776,기타,N,기타
광주 중흥1동행정복지센터,광주광역시 북구 중흥로183번길 7,2,평일 09시~18시 이용가능,35.1616854,126.9137772,기타,N,기타
광주 중흥3동행정복지센터,광주광역시 북구 서방로40번길 12,2,평일 09시~18시 이용가능,35.1722841,126.9171295,기타,N,기타
광주 풍향동행정복지센터,광주광역시 북구 필문대로29번길 10,2,평일 09시~18시 이용가능,35.16454,126.9231524,기타,N,기타
동우아스트로아파트,광주광역시 북구 효죽로9번길 53,2,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",35.17199521287,126.9164229241,기타,N,기타
